,Name,Country of origin,Type,Notes
0,CZ BREN 2,Czech Republic,Assault rifle,"Standard service rifle since 2015.[1]5,56 x 45 NATO version.[2]Furnished with either Meopta or Aimpoint red-dot sight and magnifier[3]"
1,CZ P-10 C/F,Czech Republic,Pistol,Chosen in 2020.[4]
2,FN Minimi,Belgium,Light machine gun,"Main general-purpose machinegun.[5]Mostly 7,62 x 51 NATO, some 5,56 x 45 NATO versions[6]"
3,CZ BREN 2 PPS,Czech Republic,Designated marksman rifle,"7,62 x 51 NATO[7]"
4,SplHGr 85,Austria Czech Republic,Fragmentation (defensive) hand grenade,Chosen in 2018 as replacement for previous types.[8] [9]
5,OffHGr 85,Austria Czech Republic,High explosive (offensive) hand grenade,Chosen in 2018 as replacement for previous types.[10] [11]
6,CZ 805 G1,Czech Republic,Grenade launcher,Attached grenade launcher under CZ BREN 2 rifle.
7,RPG-75,Czechoslovakia Czech Republic,Anti-tank weapon,
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
